,Lot Shape,Land Contour,Lot Config,Neighborhood,Bldg Type,Year Built,Year Remod/Add,Exter Qual,Exter Cond,Overall Qual,Overall Cond,Gr Liv Area,Kitchen Qual,Garage Area,Garage Qual,Garage Cond,Sale Type,SalePrice
210,IR1,Lvl,CulDSac,NAmes,1Fam,1970,1970,TA,TA,6,7,1004,TA,480.0,TA,TA,WD ,149000
211,Reg,Lvl,Corner,SawyerW,1Fam,2007,2007,Gd,TA,7,5,1162,Gd,483.0,TA,TA,WD ,170000
212,IR1,Lvl,Inside,Somerst,1Fam,2008,2009,Gd,TA,7,5,1436,Gd,529.0,TA,TA,New,225000
213,Reg,Lvl,Inside,Sawyer,1Fam,1963,2003,TA,Gd,5,8,960,Gd,300.0,TA,TA,WD ,144900
214,IR1,Low,CulDSac,Edwards,1Fam,1968,1968,TA,TA,5,6,1196,TA,336.0,TA,TA,WD ,144000
215,Reg,Lvl,Inside,Blmngtn,TwnhsE,2004,2005,Gd,TA,8,5,1269,Gd,430.0,TA,TA,WD ,192000
216,Reg,Lvl,Inside,NAmes,1Fam,1952,2005,Gd,TA,5,8,1031,Gd,230.0,TA,TA,WD ,145500
217,Reg,Lvl,Corner,OldTown,1Fam,1900,1998,TA,Gd,4,8,720,Fa,280.0,Fa,TA,WD ,86900
218,Reg,Lvl,Inside,NAmes,1Fam,1953,1953,TA,TA,6,4,1505,TA,505.0,TA,TA,WD ,149500
219,Reg,Bnk,Inside,Crawfor,1Fam,1938,1950,TA,Gd,5,7,954,Fa,240.0,Fa,TA,WD ,119750
220,Reg,Lvl,Inside,CollgCr,1Fam,2005,2006,TA,TA,6,5,1500,Gd,564.0,TA,TA,New,173900
221,IR1,Lvl,Inside,NAmes,1Fam,1961,1961,TA,TA,5,6,1050,TA,368.0,TA,TA,COD,136500
222,IR1,Lvl,Inside,StoneBr,1Fam,1994,1994,Gd,TA,8,5,2687,Gd,618.0,TA,TA,WD ,270000
223,Reg,Lvl,Inside,ClearCr,1Fam,1960,1975,TA,TA,6,7,1252,TA,564.0,TA,TA,WD ,235000
224,Reg,Lvl,Inside,Gilbert,1Fam,1999,2000,TA,TA,7,5,1430,TA,400.0,TA,TA,WD ,156000
225,Reg,Lvl,Inside,SawyerW,1Fam,2003,2004,TA,TA,5,5,1114,Gd,576.0,TA,TA,WD ,153000
226,Reg,Lvl,FR2,Mitchel,TwnhsE,1999,1999,TA,TA,6,5,1224,TA,402.0,TA,TA,WD ,165000
227,IR1,Lvl,Inside,StoneBr,1Fam,2005,2007,Gd,TA,9,5,2504,Ex,656.0,TA,TA,WD ,325000
228,IR1,Lvl,Inside,Crawfor,2fmCon,1941,1950,TA,TA,5,5,1355,TA,528.0,TA,TA,WD ,140000
229,Reg,Lvl,Corner,IDOTRR,1Fam,1963,1963,TA,TA,6,6,2294,TA,658.0,TA,TA,WD ,202500
230,Reg,Lvl,Corner,NridgHt,TwnhsE,2008,2008,Ex,TA,9,5,1702,Ex,1052.0,TA,TA,New,367294
231,Reg,Lvl,Inside,Timber,1Fam,1988,1989,Gd,TA,6,5,1509,Gd,600.0,TA,TA,WD ,175000
232,IR1,Lvl,Corner,Crawfor,1Fam,1915,1970,TA,TA,7,5,1717,Gd,642.0,TA,TA,WD ,140000
233,Reg,Lvl,CulDSac,Timber,1Fam,1985,1985,TA,TA,7,7,1240,Gd,528.0,TA,TA,WD ,174000
234,IR1,Lvl,Inside,Gilbert,1Fam,2005,2005,Gd,TA,7,5,1166,Gd,400.0,TA,TA,WD ,190000
235,Reg,Lvl,Corner,OldTown,1Fam,1910,2002,Gd,TA,5,8,1464,TA,0.0,,,WD ,129000
236,Reg,Lvl,Corner,NAmes,1Fam,1959,1991,TA,Gd,6,7,1652,Gd,510.0,TA,TA,WD ,200000
237,Reg,Lvl,Corner,NAmes,1Fam,1968,1968,TA,Gd,6,6,2142,Gd,509.0,TA,TA,WD ,193500
238,Reg,Lvl,Inside,NAmes,1Fam,1964,1964,TA,TA,6,7,1092,TA,504.0,TA,Gd,WD ,145000
239,IR1,Lvl,Inside,Crawfor,1Fam,1929,1950,Gd,Gd,7,7,1671,TA,451.0,TA,TA,WD ,218000
240,Reg,Lvl,Inside,Edwards,1Fam,1952,2002,TA,TA,5,6,1488,TA,569.0,TA,TA,WD ,135000
241,Reg,Lvl,Corner,NAmes,1Fam,1952,1952,TA,Gd,5,6,1624,TA,240.0,TA,TA,WD ,146500
242,IR1,Lvl,Corner,NridgHt,TwnhsE,2005,2006,Gd,TA,6,5,1362,Gd,460.0,TA,TA,WD ,194700
243,Reg,Lvl,Inside,Somerst,1Fam,2007,2008,Gd,TA,7,5,1218,Gd,462.0,TA,TA,New,230348
244,Reg,Lvl,Inside,OldTown,1Fam,1923,1950,TA,TA,6,5,1068,TA,288.0,TA,TA,WD ,109500
245,IR1,Lvl,Inside,Mitchel,1Fam,1979,1979,TA,TA,6,6,1625,Fa,576.0,TA,TA,WD ,242500
246,IR1,Lvl,Inside,StoneBr,TwnhsE,1987,1987,Gd,Gd,7,7,1767,Gd,504.0,Gd,TA,WD ,239000
247,Reg,Lvl,Inside,NAmes,1Fam,1954,2000,TA,Gd,6,8,1050,Gd,286.0,TA,TA,WD ,156000
248,IR1,Lvl,Inside,NAmes,1Fam,1957,1957,TA,TA,4,6,907,TA,352.0,TA,TA,WD ,109008
249,Reg,Lvl,Corner,IDOTRR,1Fam,1939,1950,TA,TA,2,4,845,TA,256.0,TA,Fa,WD ,68104
250,IR1,Lvl,CulDSac,NoRidge,1Fam,1995,1995,Gd,TA,8,7,2501,Gd,751.0,TA,TA,WD ,290000
251,Reg,Lvl,Corner,NAmes,1Fam,1966,1966,TA,TA,5,5,1209,TA,504.0,TA,TA,ConLD,159000
252,IR1,Bnk,Inside,BrkSide,1Fam,1937,1950,TA,TA,4,7,906,TA,231.0,Fa,TA,WD ,87000
253,Reg,Lvl,Inside,CollgCr,1Fam,2001,2002,Gd,TA,8,5,1601,Gd,670.0,TA,TA,WD ,272000
254,Reg,Lvl,FR2,CollgCr,1Fam,2005,2006,Gd,TA,7,5,1336,Gd,502.0,TA,TA,New,198000
255,Reg,Lvl,Inside,OldTown,1Fam,1940,1985,TA,Gd,4,6,1656,TA,440.0,TA,TA,WD ,119164
256,Reg,Lvl,Corner,Edwards,1Fam,1954,1954,TA,TA,5,5,1124,TA,0.0,,,WD ,93000
257,IR1,Lvl,Inside,Gilbert,1Fam,2000,2001,Gd,TA,7,5,1892,TA,431.0,TA,TA,WD ,226750
258,IR1,Bnk,Corner,OldTown,2fmCon,1900,1970,TA,TA,3,5,1699,TA,420.0,Fa,Fa,WD ,95000
259,Reg,Lvl,Inside,BrkSide,1Fam,1948,1950,TA,TA,6,7,1416,TA,312.0,TA,TA,WD ,139900
260,IR1,Lvl,Inside,BrkSide,1Fam,1940,1966,TA,Po,3,2,1306,Fa,0.0,,,WD ,76500
261,Reg,Lvl,Corner,OldTown,1Fam,1940,2005,Gd,TA,4,7,672,TA,308.0,TA,TA,WD ,86900
262,IR1,Lvl,Corner,Mitchel,1Fam,1968,1968,TA,Gd,5,6,1160,Gd,257.0,TA,TA,WD ,152500
263,Reg,Bnk,Inside,Edwards,1Fam,1953,1953,TA,TA,4,5,930,TA,286.0,TA,TA,WD ,99000
264,Reg,HLS,Inside,BrkSide,1Fam,1940,1950,Fa,TA,4,7,708,Fa,0.0,,,WD ,82500
265,Reg,Lvl,Inside,SawyerW,TwnhsE,1992,1992,Gd,TA,6,5,1575,Gd,529.0,TA,TA,WD ,179200
266,Reg,Lvl,Corner,Sawyer,1Fam,1966,1966,TA,TA,5,6,1059,TA,286.0,TA,TA,WD ,142500
267,Reg,Lvl,Inside,Sawyer,1Fam,1964,1964,TA,TA,4,3,1005,TA,440.0,TA,TA,WD ,115400
268,Reg,Lvl,Inside,Somerst,1Fam,2001,2001,Gd,TA,7,5,1929,Gd,650.0,TA,TA,WD ,226000
269,Reg,Lvl,Inside,Somerst,TwnhsE,2005,2005,Gd,TA,7,5,1200,Gd,480.0,TA,TA,WD ,144152
270,IR1,Lvl,Corner,NridgHt,1Fam,2003,2003,Gd,TA,8,5,2690,Gd,795.0,TA,TA,WD ,370000
271,Reg,Lvl,Inside,Mitchel,1Fam,1984,1984,TA,TA,5,7,833,Gd,495.0,TA,TA,WD ,149900
272,IR1,Lvl,Corner,Gilbert,1Fam,2006,2006,Gd,TA,6,5,1456,TA,429.0,TA,TA,New,172785
273,Reg,Lvl,Inside,NAmes,1Fam,1950,2002,TA,TA,5,8,864,Gd,720.0,TA,TA,WD ,129000
274,IR1,Lvl,CulDSac,NWAmes,1Fam,1979,1998,TA,Gd,6,5,1586,TA,435.0,TA,TA,WD ,181000
275,Reg,Lvl,Corner,NAmes,1Fam,1956,1956,TA,TA,5,6,1370,TA,300.0,TA,TA,WD ,148000
276,Reg,Lvl,Inside,Edwards,1Fam,2002,2002,TA,TA,6,5,914,Gd,0.0,,,WD ,117250
277,Reg,Lvl,Inside,Blmngtn,TwnhsE,2005,2006,Gd,TA,7,5,1555,Gd,430.0,TA,TA,WD ,192500
278,Reg,Lvl,Inside,Blueste,Twnhs,1980,1980,TA,Gd,6,6,1556,TA,452.0,TA,TA,COD,151000
279,Reg,Lvl,Corner,CollgCr,1Fam,1972,1972,TA,TA,5,5,882,TA,461.0,TA,TA,WD ,112500
280,IR1,Lvl,Inside,BrkSide,1Fam,1920,1950,TA,Fa,5,5,1167,TA,495.0,TA,TA,WD ,144000
281,IR1,Lvl,Inside,NridgHt,TwnhsE,2007,2008,Ex,TA,9,5,1800,Ex,944.0,TA,TA,New,370967
282,Reg,Lvl,FR2,NPkVill,Twnhs,1975,1975,TA,TA,6,6,1456,Gd,440.0,TA,TA,WD ,149900
283,IR1,Lvl,Inside,CollgCr,1Fam,2002,2002,Gd,TA,7,5,1660,Gd,493.0,TA,TA,WD ,195000
284,IR1,Lvl,Inside,Gilbert,1Fam,1992,1992,TA,TA,7,5,1482,Gd,392.0,TA,TA,WD ,163900
285,Reg,Lvl,Corner,ClearCr,1Fam,1984,1984,TA,TA,6,5,1522,TA,552.0,TA,TA,WD ,182000
286,IR1,HLS,Corner,Timber,1Fam,2008,2008,Ex,TA,9,5,2036,Ex,780.0,TA,TA,WD ,410000
287,Reg,Lvl,Inside,Mitchel,1Fam,1991,1991,TA,TA,5,5,1595,TA,672.0,TA,TA,COD,152000
288,Reg,Lvl,Inside,SawyerW,1Fam,2005,2005,Gd,TA,7,5,1686,Gd,462.0,TA,TA,WD ,184000
289,Reg,Lvl,Inside,Mitchel,Duplex,1997,1998,TA,Gd,7,5,1344,TA,784.0,TA,TA,WD ,206300
290,IR1,Lvl,Corner,Mitchel,Duplex,1970,1970,TA,TA,5,5,1652,TA,928.0,TA,TA,WD ,146500
291,Reg,Lvl,Inside,NAmes,1Fam,1956,1956,TA,TA,4,5,1337,TA,263.0,TA,TA,WD ,108000
292,IR1,Lvl,Inside,NWAmes,1Fam,1968,1992,TA,TA,7,6,1920,Gd,487.0,TA,TA,WD ,170000
293,Reg,Lvl,Inside,CollgCr,TwnhsE,2004,2004,Gd,TA,6,5,848,Gd,420.0,TA,TA,WD ,145000
294,Reg,Lvl,FR2,NPkVill,Twnhs,1975,1975,TA,TA,7,5,1055,TA,440.0,TA,TA,WD ,123000
295,Reg,HLS,Inside,ClearCr,1Fam,1996,1997,TA,TA,6,5,1291,Gd,431.0,TA,TA,WD ,173000
296,Reg,Lvl,Inside,OldTown,1Fam,1928,2003,TA,Gd,6,8,720,TA,484.0,TA,TA,WD ,105900
297,Reg,Lvl,Inside,MeadowV,Twnhs,1973,1973,TA,TA,4,5,988,TA,297.0,TA,TA,WD ,91000
298,Reg,Bnk,Inside,Crawfor,1Fam,1949,2005,TA,TA,5,7,1523,Fa,295.0,TA,TA,WD ,158000
299,IR1,Lvl,Inside,CollgCr,1Fam,2004,2004,Gd,TA,7,5,1728,Gd,572.0,TA,TA,WD ,190000
300,IR2,Lvl,CulDSac,Veenker,TwnhsE,1995,1995,Gd,TA,8,5,1239,Gd,477.0,TA,TA,WD ,217500
301,Reg,Lvl,Inside,IDOTRR,1Fam,1958,1958,TA,TA,5,5,1955,TA,356.0,TA,TA,WD ,165500
302,Reg,Bnk,Inside,Crawfor,1Fam,1941,1950,TA,TA,7,7,1564,Fa,234.0,TA,TA,WD ,174500
303,Reg,Bnk,Inside,Edwards,1Fam,1954,1954,TA,TA,4,6,1204,TA,312.0,TA,TA,WD ,100000
304,IR1,Lvl,Corner,NAmes,1Fam,1958,1958,TA,TA,6,6,1329,Gd,312.0,TA,TA,WD ,172000
305,Reg,Lvl,Corner,CollgCr,1Fam,1975,1975,TA,TA,5,6,879,TA,440.0,TA,TA,Con,120000
306,Reg,Lvl,Inside,SawyerW,1Fam,1950,1950,Fa,Fa,4,4,841,TA,294.0,TA,TA,WD ,82000
307,Reg,Lvl,Inside,NAmes,1Fam,1947,1950,TA,TA,6,6,1312,TA,649.0,TA,TA,WD ,127000
308,Reg,Lvl,Inside,OldTown,1Fam,1917,1950,TA,TA,6,5,2058,TA,396.0,Fa,Fa,WD ,129500
309,IR1,Lvl,CulDSac,StoneBr,TwnhsE,1984,1984,Gd,TA,8,5,1360,Gd,565.0,TA,TA,COD,187500
310,IR2,Lvl,CulDSac,CollgCr,1Fam,2002,2003,Gd,TA,8,5,1786,Gd,715.0,TA,TA,WD ,300000
311,IR1,Lvl,CulDSac,NWAmes,1Fam,1971,1971,TA,TA,6,5,1993,TA,495.0,TA,TA,WD ,190000
312,Reg,Lvl,Inside,Edwards,1Fam,1920,1950,Fa,Fa,4,5,1362,TA,280.0,Fa,TA,WD ,96000
313,Reg,Lvl,Inside,Somerst,1Fam,2006,2007,Gd,TA,7,5,1550,Gd,438.0,TA,TA,WD ,241000
314,IR1,Lvl,CulDSac,Sawyer,1Fam,1962,1962,TA,Gd,5,5,1696,TA,349.0,TA,TA,WD ,143900
315,Reg,Lvl,Inside,MeadowV,Twnhs,1970,1970,TA,TA,4,5,1092,TA,286.0,TA,TA,WD ,87550
316,Reg,Lvl,Inside,NridgHt,TwnhsE,2005,2005,Ex,TA,9,5,1752,Ex,576.0,TA,TA,WD ,319900
317,IR1,HLS,CulDSac,StoneBr,1Fam,2006,2006,Gd,TA,9,5,2473,Gd,675.0,TA,TA,New,356383
318,IR1,Lvl,Corner,CollgCr,1Fam,2007,2007,Gd,TA,9,5,1800,Ex,702.0,TA,TA,WD ,239000
319,Reg,Lvl,Inside,NoRidge,1Fam,1993,1994,Gd,TA,7,5,2197,Gd,783.0,TA,TA,WD ,287500
320,IR1,Lvl,Inside,OldTown,1Fam,1941,1950,TA,TA,5,6,1382,TA,660.0,TA,TA,WD ,128500
321,IR1,Lvl,Inside,Gilbert,1Fam,2004,2004,Gd,TA,7,5,1733,Gd,433.0,TA,TA,WD ,185088
322,Reg,Lvl,Inside,Somerst,1Fam,2008,2008,Gd,TA,7,5,1402,Gd,625.0,TA,TA,WD ,229800
323,Reg,Lvl,Inside,Mitchel,1Fam,1984,1984,TA,TA,5,6,887,TA,288.0,TA,TA,WD ,124500
324,Reg,Lvl,Corner,NAmes,1Fam,1968,1968,TA,TA,5,5,1051,TA,504.0,TA,TA,WD ,142000
325,Reg,HLS,Corner,SWISU,1Fam,1920,1950,TA,TA,6,8,1510,TA,216.0,TA,TA,WD ,149000
326,IR1,Lvl,Inside,NWAmes,Duplex,1973,1973,TA,TA,5,5,1656,TA,506.0,TA,TA,WD ,135000
327,IR1,Lvl,Inside,NPkVill,TwnhsE,1976,1976,TA,TA,6,5,958,TA,440.0,TA,TA,WD ,128000
328,IR1,Lvl,Inside,NoRidge,1Fam,1992,1993,Gd,TA,8,5,3228,Gd,546.0,TA,TA,WD ,430000
329,Reg,Lvl,Corner,Sawyer,1Fam,1968,1968,TA,TA,5,7,1040,TA,686.0,TA,TA,WD ,145000
330,Reg,Lvl,Corner,Crawfor,1Fam,1910,2003,TA,TA,5,6,1250,TA,552.0,TA,TA,WD ,139000
331,Reg,Lvl,Inside,NWAmes,1Fam,1984,2003,TA,TA,6,7,1868,TA,477.0,TA,TA,WD ,178000
332,Reg,Lvl,Inside,NridgHt,1Fam,2005,2006,Ex,TA,10,5,2790,Ex,1150.0,TA,TA,WD ,460000
333,IR1,Bnk,Inside,BrkSide,1Fam,1916,1994,TA,TA,6,6,2134,Gd,441.0,TA,TA,WD ,214500
334,Reg,Lvl,Inside,SWISU,2fmCon,1916,1995,TA,TA,5,8,1928,TA,0.0,,,WD ,160000
335,IR1,Lvl,FR2,Gilbert,1Fam,1999,1999,Gd,TA,7,5,2060,Gd,390.0,TA,TA,WD ,214000
336,Reg,Lvl,Inside,OldTown,1Fam,1935,1998,TA,TA,6,8,1378,Gd,162.0,Fa,Fa,WD ,128900
337,Reg,Low,Inside,Mitchel,2fmCon,1961,1975,TA,Gd,4,4,1622,TA,1356.0,TA,TA,WD ,168000
338,IR1,Lvl,Inside,Somerst,1Fam,2007,2007,Gd,TA,8,5,1880,Ex,880.0,TA,TA,New,310013
339,Reg,Lvl,Inside,StoneBr,TwnhsE,1986,1986,Gd,TA,8,5,1088,Gd,461.0,TA,TA,WD ,170000
340,Reg,Lvl,Inside,NAmes,1Fam,1959,1959,TA,TA,5,5,1040,TA,286.0,TA,TA,WD ,133700
341,Reg,Lvl,Inside,Crawfor,1Fam,1923,1996,TA,Gd,6,7,1502,Gd,180.0,TA,TA,WD ,165000
342,Reg,Lvl,Inside,BrDale,TwnhsE,1971,1971,TA,TA,6,3,987,TA,264.0,TA,TA,WD ,89500
343,Reg,Lvl,Inside,NAmes,2fmCon,1958,1958,TA,Fa,6,5,1095,TA,264.0,TA,TA,ConLD,140000
344,Reg,Lvl,Inside,Edwards,Twnhs,2004,2004,Gd,TA,7,5,1709,Gd,380.0,TA,TA,WD ,134000
345,IR2,Lvl,Inside,SawyerW,1Fam,1992,1993,Gd,TA,6,5,1731,Gd,462.0,TA,TA,WD ,248500
346,IR1,Lvl,CulDSac,Sawyer,1Fam,1965,2001,TA,Gd,4,9,960,TA,364.0,TA,TA,WD ,145000
347,Reg,Lvl,Inside,NWAmes,1Fam,1975,1975,TA,TA,6,6,1552,TA,434.0,TA,TA,WD ,179900
348,Reg,Lvl,Inside,Somerst,1Fam,2006,2007,Gd,TA,8,5,1795,Gd,895.0,TA,TA,New,147000
349,Reg,Lvl,Inside,Mitchel,1Fam,1991,1991,TA,TA,5,5,1274,TA,576.0,TA,TA,WD ,136000
350,Reg,Lvl,Inside,BrkSide,1Fam,1940,1950,TA,Gd,6,6,1196,TA,576.0,TA,TA,WD ,128000
351,IR1,Lvl,Inside,Sawyer,1Fam,1946,2001,TA,Gd,4,9,704,Fa,220.0,TA,TA,WD ,88750
352,Reg,Lvl,Corner,NAmes,1Fam,1955,1955,TA,Gd,5,6,972,TA,305.0,TA,TA,WD ,122500
353,Reg,Lvl,Inside,NAmes,1Fam,1948,1950,TA,TA,6,5,1458,TA,330.0,TA,TA,WD ,97500
354,IR1,Lvl,Corner,NAmes,1Fam,1963,1963,TA,TA,6,7,1008,TA,430.0,TA,TA,WD ,135000
355,Reg,Lvl,Inside,NridgHt,1Fam,2007,2007,Ex,TA,9,5,1828,Gd,774.0,TA,TA,New,314813
356,IR1,Lvl,Corner,IDOTRR,1Fam,1915,1982,Fa,Fa,3,2,1526,Fa,0.0,,,ConLD,85000
357,Reg,Lvl,Inside,BrkSide,1Fam,1937,2000,Gd,TA,6,9,1176,TA,624.0,TA,TA,WD ,134900
358,Reg,Lvl,Inside,Edwards,1Fam,1955,1999,TA,TA,5,8,1057,Gd,288.0,TA,TA,WD ,137000
359,IR1,Lvl,Inside,NoRidge,1Fam,1995,1995,Gd,Gd,8,6,2113,Gd,839.0,TA,TA,WD ,350000
360,Reg,Lvl,Inside,NAmes,1Fam,1967,1975,TA,TA,5,7,1387,TA,300.0,TA,TA,WD ,145000
361,IR1,Lvl,CulDSac,NridgHt,1Fam,2005,2006,Gd,TA,9,5,2758,Ex,814.0,TA,TA,WD ,418000
362,Reg,Lvl,Inside,OldTown,1Fam,1920,1950,TA,TA,3,4,840,Fa,250.0,TA,Fa,WD ,64000
363,IR2,Bnk,Inside,SWISU,1Fam,1932,2000,TA,TA,5,5,1520,TA,281.0,TA,TA,WD ,159434
364,Reg,Lvl,Inside,Somerst,1Fam,2007,2007,Gd,TA,8,5,1542,Gd,852.0,TA,TA,New,260261
365,Reg,Lvl,Corner,NAmes,1Fam,1952,1952,TA,Fa,5,4,1385,TA,720.0,TA,TA,WD ,166000
366,Reg,Lvl,Inside,NAmes,1Fam,1962,1962,TA,TA,5,5,936,TA,288.0,TA,TA,WD ,130000
367,Reg,Lvl,Corner,SWISU,1Fam,1941,1950,TA,TA,5,4,1288,TA,240.0,TA,TA,WD ,112000
368,Reg,Lvl,Inside,NAmes,1Fam,1963,1963,TA,Gd,5,6,1128,TA,525.0,TA,TA,WD ,155000
369,Reg,Lvl,Corner,Timber,1Fam,2009,2010,Gd,TA,8,5,1968,Ex,680.0,TA,TA,New,269500
370,IR1,Lvl,Inside,NAmes,1Fam,1964,1964,TA,TA,6,5,1246,TA,441.0,TA,TA,WD ,172000
371,Reg,Lvl,Inside,Crawfor,1Fam,1940,1984,TA,TA,7,6,1740,TA,240.0,TA,TA,CWD,219500
372,IR1,Lvl,Inside,Sawyer,1Fam,1963,1963,TA,TA,5,6,925,TA,484.0,TA,TA,WD ,133500
373,IR1,Lvl,Inside,Gilbert,1Fam,2000,2000,TA,TA,7,5,1430,TA,400.0,TA,TA,WD ,170000
374,Reg,Lvl,Corner,OldTown,1Fam,1900,2003,Gd,Gd,8,9,1566,Gd,288.0,TA,TA,WD ,150000
375,Reg,Lvl,Inside,NAmes,1Fam,1953,1953,TA,TA,5,5,950,TA,400.0,TA,TA,WD ,130000
376,Reg,Lvl,Inside,NAmes,1Fam,1959,1959,TA,Gd,5,6,1144,TA,796.0,TA,TA,WD ,143000
377,Reg,Lvl,Corner,NAmes,1Fam,1961,1961,TA,Gd,5,5,1114,TA,451.0,TA,TA,COD,140000
378,IR1,Lvl,Inside,NAmes,1Fam,1973,1973,TA,Gd,7,6,2223,TA,516.0,TA,TA,WD ,244000
379,Reg,Lvl,Inside,IDOTRR,1Fam,1920,1996,TA,TA,5,7,1111,Fa,288.0,TA,TA,WD ,101000
380,Reg,Lvl,Inside,OldTown,1Fam,1958,1958,TA,TA,5,5,960,TA,624.0,TA,TA,WD ,125000
381,IR1,Lvl,Corner,Gilbert,1Fam,1998,1998,TA,TA,6,5,1633,TA,460.0,TA,TA,WD ,183000
382,Reg,Lvl,Corner,OldTown,1Fam,1912,1950,TA,TA,6,6,2229,TA,0.0,,,WD ,104000
383,Reg,Lvl,Corner,NAmes,1Fam,1954,1954,TA,TA,6,7,984,TA,280.0,TA,TA,WD ,112500
384,Reg,Lvl,Inside,NWAmes,1Fam,1980,1980,TA,Gd,6,6,1686,TA,612.0,TA,TA,WD ,207500
385,Reg,Lvl,Inside,CollgCr,1Fam,2005,2005,Gd,TA,7,5,1614,Gd,576.0,TA,TA,WD ,225000
386,Reg,Low,Inside,CollgCr,1Fam,1972,1972,TA,TA,5,8,864,TA,297.0,TA,TA,WD ,119900
387,Reg,Lvl,Corner,NridgHt,1Fam,2006,2006,Gd,TA,7,5,1740,Gd,874.0,TA,TA,New,293000
388,IR1,Lvl,Inside,Sawyer,1Fam,1968,1993,TA,TA,5,6,1721,TA,440.0,TA,TA,WD ,180000
389,IR1,Lvl,Inside,Mitchel,1Fam,1976,1976,TA,TA,6,5,1034,TA,888.0,TA,TA,WD ,169900
390,Reg,Lvl,Inside,Sawyer,Duplex,1978,1978,TA,TA,6,5,1902,TA,539.0,TA,TA,WD ,112000
391,Reg,Lvl,Corner,SawyerW,1Fam,1984,1985,TA,TA,6,5,1097,TA,480.0,TA,TA,WD ,152000
392,IR1,Lvl,Corner,NridgHt,1Fam,2005,2006,Gd,TA,9,5,2206,Ex,670.0,TA,TA,New,300000
393,Reg,Lvl,Inside,Edwards,1Fam,1976,1976,TA,TA,6,5,1117,TA,672.0,TA,TA,WD ,107000
394,Reg,Lvl,Inside,OldTown,2fmCon,1885,1950,TA,TA,4,6,2290,TA,560.0,TA,TA,WD ,122500
395,Reg,Lvl,Inside,BrDale,Twnhs,1972,1972,TA,TA,6,5,948,TA,264.0,TA,TA,WD ,89000
396,IR1,Bnk,Inside,SWISU,1Fam,1940,1950,TA,TA,6,5,919,TA,231.0,TA,TA,WD ,95000
397,Reg,Lvl,Inside,NWAmes,1Fam,1968,1968,TA,TA,6,6,1152,TA,412.0,TA,TA,CWD,143450
398,IR1,Lvl,Inside,NridgHt,1Fam,2009,2010,Ex,TA,9,5,2334,Ex,751.0,TA,TA,New,376162
399,Reg,Lvl,Inside,NAmes,1Fam,1960,1960,TA,TA,5,5,1264,TA,461.0,TA,TA,WD ,167500
400,Reg,Bnk,Inside,SawyerW,Duplex,1979,1979,TA,TA,5,5,1224,TA,528.0,TA,TA,WD ,153337
401,Reg,Lvl,Inside,Edwards,1Fam,1925,1950,TA,Gd,6,6,1369,TA,300.0,TA,TA,WD ,103600
402,Reg,Lvl,Corner,CollgCr,1Fam,1976,1976,TA,TA,5,6,894,TA,308.0,TA,TA,WD ,128200
403,Reg,Lvl,Inside,Somerst,Twnhs,2000,2000,Gd,TA,6,5,1573,Gd,440.0,TA,TA,WD ,177500
404,Reg,Lvl,Corner,NridgHt,1Fam,2002,2002,Gd,TA,8,5,2250,Gd,756.0,TA,TA,WD ,320000
405,IR1,Lvl,Inside,Gilbert,1Fam,2000,2000,TA,TA,6,5,1514,TA,394.0,TA,TA,WD ,190000
406,Reg,Lvl,Inside,BrDale,Twnhs,1971,1971,TA,TA,6,5,1218,TA,0.0,,,WD ,91500
407,Reg,Lvl,Inside,OldTown,2fmCon,1954,1954,TA,TA,5,4,1387,Gd,256.0,TA,TA,WD ,93000
408,Reg,Lvl,Inside,IDOTRR,1Fam,1920,1950,TA,Fa,4,4,1317,TA,250.0,TA,Fa,WD ,40000
409,Reg,Lvl,Inside,IDOTRR,1Fam,1914,2006,TA,TA,6,7,1355,Gd,0.0,,,WD ,127000
410,Reg,Lvl,Corner,IDOTRR,1Fam,1896,1950,Fa,Fa,4,7,952,TA,330.0,TA,TA,WD ,50138
411,IR1,Lvl,Corner,Edwards,1Fam,1976,1976,TA,Gd,6,7,1113,TA,504.0,TA,Gd,WD ,148000
412,Reg,Lvl,Inside,IDOTRR,1Fam,1940,1955,TA,TA,5,6,778,TA,924.0,Ex,Ex,WD ,120500
413,Reg,Lvl,Inside,SWISU,1Fam,1940,1950,TA,TA,6,7,1489,TA,240.0,TA,TA,WD ,139500
414,IR1,Lvl,Inside,Edwards,1Fam,2007,2008,Ex,TA,9,5,1698,Ex,768.0,TA,TA,WD ,320000
415,Reg,Bnk,Inside,Sawyer,1Fam,1937,1980,TA,Gd,7,8,2267,TA,498.0,TA,TA,WD ,219000
416,IR1,Low,Inside,Mitchel,1Fam,1983,1983,TA,TA,5,5,902,TA,484.0,TA,TA,WD ,131000
417,IR1,Lvl,Inside,Gilbert,1Fam,2006,2006,Gd,TA,6,5,1495,Gd,440.0,TA,TA,New,171925
418,IR1,Lvl,Inside,Gilbert,1Fam,1996,1997,Gd,TA,5,5,1384,Gd,404.0,TA,TA,WD ,177900
419,Reg,Lvl,Inside,Crawfor,1Fam,1921,1950,TA,TA,6,7,1436,TA,228.0,TA,TA,CWD,141500
420,Reg,Lvl,Inside,Gilbert,1Fam,1998,1999,Gd,TA,6,5,1636,TA,440.0,TA,TA,WD ,191000
421,Reg,Lvl,Inside,SawyerW,1Fam,2004,2004,TA,TA,6,5,1158,Gd,576.0,TA,TA,New,158000
